,content
220,"['large', 'made', 'descent', 'fortune', 'name', 'richesse', 'lifes', 'praise', 'designd', 'alive', 'give', 'third', 'unto', 'times', 'sovereign', 'last', 'letters', 'mothers', 'ornament', 'excellent', 'honour', 'kind', 'worthy', 'trade', 'framd', 'love', 'gave', 'ye', 'graces', 'gifts', 'hath', 'speak', 'spirit', 'glory', 'derivd', 'elizabeths', 'first', 'three', 'thrice', 'lent', 'ever', 'skilful', 'second', 'praised', 'raised', 'happy', 'body', 'womb', 'mind', 'due', 'dust', 'queen', 'live']"
221,"['heavenly', 'made', 'divine', 'gentle', 'born', 'doth', 'beauty', 'flowers', 'credit', 'daily', 'self', 'lose', 'fair', 'wit', 'true', 'youto', 'men', 'see', 'flesh', 'argue', 'ye', 'hath', 'glorious', 'permanent', 'spirit', 'hue', 'perfect', 'trueand', 'fade', 'derivd', 'ever', 'rest', 'first', 'much', 'call', 'like', 'ensue', 'vertuous', 'naught', 'untimely', 'turn', 'freefrom', 'seed', 'mind', 'corruption', 'frail', 'proceed', 'shall', 'praisd']"
222,"['made', 'wrote', 'waves', 'name', 'tide', 'live', 'die', 'subdue', 'decay', 'life', 'strand', 'verse', 'man', 'upon', 'away', 'assay', 'immortalize', 'fame', 'write', 'mortal', 'later', 'pains', 'rare', 'renew', 'washed', 'death', 'quod', 'love', 'likewise', 'vertues', 'thing', 'glorious', 'hand', 'things', 'eternize', 'came', 'day', 'world', 'like', 'baser', 'deviseto', 'one', 'second', 'vain', 'whenas', 'wiped', 'said', 'prey', 'dost', 'heavens', 'let', 'dust', 'shall', 'eke']"
223,"['attend', 'flames', 'amongst', 'season', 'saint', 'fit', 'thy', 'service', 'image', 'devotion', 'fair', 'within', 'th', 'ought', 'thoughts', 'bliss', 'fast', 'men', 'pray', 'sweet', 'holy', 'night', 'therefore', 'vouchsafe', 'likewise', 'heart', 'glorious', 'build', 'altar', 'inclind', 'day', 'author', 'appease', 'never', 'like', 'sacred', 'kept', 'chaste', 'ire', 'accept', 'burning', 'find', 'placed', 'dearest', 'sacrifice', 'desire', 'priests', 'think', 'mind', 'goddess', 'relics', 'pure', 'amiss', 'temple', 'built']"
224,"['stour', 'dulled', 'gentle', 'passdown', 'admiration', 'fearful', 'shadow', 'forehead', 'bounden', 'aloft', 'lovely', 'mortal', 'honour', 'fashions', 'thee', 'dainties', 'see', 'adorning', 'sun', 'face', 'since', 'lieu', 'thing', 'leaves', 'intent', 'wasted', 'drawing', 'higher', 'beam', 'never', 'ever', 'procureto', 'corrupted', 'abused', 'mirrors', 'eye', 'power', 'blemishment', 'grant', 'ornamentsand', 'excelall', 'oft', 'skillan', 'source', 'go', 'top', 'withered', 'still', 'fairness', 'heavenly', 'less', 'field', 'fairer', 'decay', 'star', 'deformd', 'friend', 'images', 'nature', 'soul', 'outward', 'riches', 'without', 'dawning', 'sympathize', 'men', 'sweet', 'embracing', 'thousands', 'time', 'bebut', 'thrall', 'twinkling', 'seewith', 'trim', 'handmaids', 'house', 'frosty', 'lightas', 'took', 'placda', 'deign', 'feeble', 'glances', 'loathe', 'advise', 'mens', 'seed', 'brightness', 'reflection', 'cheerful', 'ears', 'queen', 'cyprian', 'setteth', 'thy', 'masking', 'disposition', 'darling', 'man', 'mouldhe', 'kindleth', 'thewed', 'light', 'none', 'foul', 'liegeman', 'blame', 'play', 'ravishd', 'laid', 'impression', 'goodly', 'would', 'drop', 'rob', 'sinners', 'first', 'amended', 'lifeful', 'throne', 'derived', 'amiable', 'lances', 'fantasy', 'imperfection', 'enraced', 'consuming', 'clay', 'conditions', 'perfection', 'live', 'foe', 'ay', 'message', 'hymn', 'seemly', 'conquering', 'amongst', 'beholdeth', 'loves', 'robs', 'ken', 'may', 'grief', 'else', 'darts', 'fresh', 'content', 'pourthrough', 'captivemy', 'full', 'fixeth', 'e', 'delight', 'join', 'seeand', 'sorrow', 'spirit', 'fiery', 'embassade', 'quite', 'giveth', 'high', 'disloyal', 'often', 'back', 'car', 'damned', 'comes', 'holda', 'bear', 'sometimes', 'abusd', 'indeed', 'make', 'summers', 'two', 'golden', 'mine', 'compild', 'carrying', 'whether', 'privy', 'agree', 'resplendent', 'poisond', 'partmove', 'inward', 'gods', 'mould', 'wight', 'thine', 'loving', 'vouchsafe', 'sight', 'reducing', 'appeareth', 'smiles', 'discordant', 'mean', 'disparagementsbe', 'laythat', 'unlike', 'wounded', 'blot', 'refined', 'eft', 'worlds', 'robbd', 'stream', 'strength', 'one', 'armies', 'sprinkled', 'desire', 'whose', 'heavens', 'hearts', 'dross', 'store', 'blossoms', 'quench', 'makes', 'kindly', 'honourable', 'misdeem', 'shade', 'beholda', 'doth', 'harmonyof', 'scorn', 'receipt', 'lightof', 'whoso', 'retire', 'chance', 'fashiond', 'cheeks', 'informed', 'mutual', 'relief', 'clotheth', 'within', 'dims', 'pining', 'foulest', 'beautys', 'lively', 'pictures', 'raythat', 'unfoldten', 'infection', 'certain', 'effect', 'appear', 'aspect', 'immortal', 'find', 'stars', 'darkned', 'embodied', 'display', 'arrow', 'waykindled', 'let', 'lord', 'shall', 'extreme', 'dim', 'glory', 'spreadupon', 'attend', 'wherever', 'idle', 'pattern', 'beautify', 'amorous', 'sue', 'seek', 'receive', 'inly', 'upon', 'sovereign', 'erst', 'orient', 'bowers', 'seeking', 'band', 'graceto', 'privily', 'death', 'bower', 'view', 'mother', 'empight', 'seem', 'wits', 'raisethe', 'seena', 'firebrand', 'regard', 'draw', 'singing', 'much', 'dew', 'confess', 'flying', 'wontless', 'fleshs', 'inspireinto', 'trial', 'fall', 'deck', 'list', 'whilom', 'many', 'breast', 'bright', 'quickneth', 'found', 'corruption', 'delightsee', 'virtue', 'bethan', 'concent', 'drownd', 'conforming', 'raging', 'mindful', 'conquest', 'bene', 'secret', 'either', 'name', 'grace', 'lightt', 'enshrined', 'others', 'express', 'retaining', 'banquets', 'illumine', 'void', 'beauty', 'thereon', 'pass', 'deckt', 'celestial', 'dutynothing', 'redeto', 'impress', 'could', 'therefore', 'fire', 'darted', 'spoilof', 'select', 'ordain', 'fro', 'marrow', 'gazeful', 'day', 'thousand', 'felicity', 'falls', 'white', 'belovd', 'carry', 'substance', 'music', 'shamemay', 'aslake', 'lights', 'turn', 'illuminate', 'mind', 'colours', 'smart', 'wondrous', 'compositionof', 'thereto', 'vital', 'corrupt', 'sends', 'rearto', 'palace', 'die', 'streamsome', 'works', 'invent', 'twainshould', 'commend', 'th', 'cordials', 'vassals', 'endued', 'refine', 'enchanting', 'corpse', 'reaved', 'stir', 'albe', 'mar', 'free', 'banner', 'habit', 'things', 'shines', 'perfect', 'eyelids', 'mirror', 'base', 'nathemore', 'flower', 'presentunto', 'pleasant', 'strewed', 'viewed', 'fleshly', 'adore', 'thence', 'ground', 'wilt', 'fountain', 'restless', 'dames', 'made', 'lends', 'tell', 'erewhile', 'loosely', 'according', 'choice', 'thought', 'cannot', 'artexcelld', 'frame', 'away', 'rage', 'beams', 'heightto', 'souls', 'deflore', 'mixture', 'affections', 'ye', 'millions', 'faces', 'graces', 'beauteous', 'infusion', 'unaptness', 'dainty', 'comely', 'parts', 'sinful', 'lovers', 'entire', 'fairly', 'compassion', 'conceit', 'install', 'hellish', 'deformed', 'clear', 'take', 'joy', 'every', 'forms', 'sightthey', 'unto', 'fairest', 'good', 'dread', 'lose', 'feed', 'pointest', 'sky', 'otherwise', 'form', 'night', 'spirits', 'recure', 'wrong', 'looks', 'earth', 'composd', 'little', 'proportion', 'sense', 'madeof', 'world', 'might', 'lines', 'chaste', 'accordingly', 'lust', 'belgards', 'yield', 'opposd', 'provd', 'placed', 'ghost', 'odours', 'feature', 'combined', 'limning', 'eke', 'exceed', 'beamhath', 'virgin', 'anywhere', 'divine', 'adorn', 'praise', 'born', 'fit', 'sons', 'wheresoeer', 'resemblance', 'poor', 'wonders', 'lamp', 'know', 'length', 'eternal', 'whereof', 'kingdom', 'awayto', 'ill', 'discovers', 'behoves', 'bondslave', 'ray', 'loyal', 'expire', 'work', 'fury', 'harbourd', 'influence', 'workmaster', 'io', 'yet', 'vainly', 'reason', 'booteth', 'arrayd', 'woes', 'owe', 'pure', 'spotless', 'frail', 'well', 'planet', 'dightwith', 'venus', 'complexions', 'respect', 'purest', 'life', 'eyne', 'affection', 'times', 'however', 'beholders', 'filthy', 'sharply', 'seems', 'spright', 'true', 'long', 'counting', 'mayst', 'words', 'dimmd', 'kind', 'ah', 'flesh', 'darkness', 'pleasures', 'read', 'fadeand', 'matter', 'lookers', 'blind', 'gross', 'shew', 'advance', 'spread', 'trembling', 'natheless', 'meet', 'sacred', 'duller', 'havethe', 'stubborn', 'admire', 'sightdo', 'shining', 'thereof', 'thou', 'body', 'received', 'dost', 'bland', 'inmost', 'sign', 'fancys', 'sorrows', 'sparkling', 'therein', 'parcel', 'rue', 'fear', 'even', 'tabernacle', 'whilst', 'eyes', 'whither', 'fair', 'great', 'behold', 'dolours', 'add', 'chain', 'buds', 'likely', 'proceeds', 'graced', 'kindling', 'heart', 'blood', 'remaining', 'wrested', 'kindlest', 'wounds', 'preserve', 'garland', 'defame', 'partakesor', 'goddess', 'majesty', 'object', 'sharp', 'cures', 'extinguishd', 'fault', 'triumph', 'likest', 'eyesa', 'forth', 'wire', 'please', 'whence', 'cytherea', 'fully', 'nothing', 'sighted', 'thereafter', 'pierce', 'beautiful', 'abuse', 'guilty', 'believe', 'nought', 'look', 'dart', 'therewith', 'wastes', 'hath', 'like', 'tempramentof', 'countrys', 'castto', 'likeness', 'sympathy', 'lips', 'dear', 'morethy', 'sin', 'assumed', 'restore', 'bait', 'flowing', 'quickly', 'fond', 'assays', 'give', 'course', 'measurd', 'heaven', 'straight', 'earthly', 'beamof', 'admird', 'descentout', 'direction', 'part', 'stint', 'native', 'minds', 'red', 'seeing', 'fealtyadore', 'lightand', 'love', 'bravetheir', 'nectar', 'mighttempers', 'jar', 'hue', 'deprave', 'frames', 'fade', 'war', 'together', 'minddwells', 'rosy', 'due', 'burn', 'dust', 'plain']"
225,"['say', 'nay', 'woe', 'nother', 'among', 'thy', 'longin', 'grief', 'grame', 'heartnever', 'helas', 'loved', 'thee', 'cruelty', 'wealth', 'given', 'heart', 'blameof', 'hath', 'save', 'loveth', 'thus', 'pityof', 'thusand', 'strongas', 'leave', 'thou', 'shame', 'wilt', 'pain', 'smart', 'depart']"
226,"['seemd', 'stay', 'fruitful', 'write', 'natures', 'show', 'words', 'read', 'see', 'sunburnd', 'face', 'loving', 'leaves', 'thus', 'fine', 'obtain', 'way', 'thence', 'oft', 'throes', 'said', 'still', 'pen', 'pity', 'flowsome', 'halting', 'wanting', 'woe', 'truth', 'win', 'helpless', 'verse', 'sought', 'great', 'invention', 'knowledge', 'showers', 'heart', 'speak', 'came', 'dame', 'fool', 'turning', 'fain', 'studys', 'truant', 'paint', 'pleasure', 'take', 'blows', 'thy', 'forth', 'upon', 'fled', 'biting', 'look', 'inventions', 'beating', 'step', 'wits', 'would', 'might', 'entertain', 'strangers', 'cause', 'dear', 'feet', 'grace', 'fit', 'others', 'child', 'know', 'reading', 'fresh', 'brain', 'love', 'muse', 'spite', 'blackest', 'pain', 'studying', 'make']"
227,"['stella', 'fet', 'take', 'endite', 'nameyou', 'born', 'deceased', 'every', 'flows', 'seek', 'ribs', 'helps', 'poor', 'petrarchs', 'begin', 'light', 'search', 'length', 'fame', 'goods', 'wit', 'parnassus', 'behold', 'long', 'inward', 'want', 'sweet', 'touch', 'breasts', 'poesy', 'stoln', 'new', 'running', 'ye', 'bewray', 'love', 'wrong', 'springwhich', 'far', 'rimes', 'rattling', 'suchas', 'flower', 'ways', 'old', 'dictionarys', 'sure', 'sighs', 'woeswith', 'nurse', 'skill', 'denizend', 'growsnear', 'bringinto', 'come', 'thereabouts', 'sing', 'perhaps', 'method', 'fullest', 'rows', 'purling', 'wring']"
228,"['say', 'spy', 'wound', 'secret', 'prospect', 'doth', 'close', 'glistring', 'lay', 'tyrant', 'murdring', 'pass', 'saw', 'poor', 'straight', 'black', 'place', 'stay', 'piercd', 'dark', 'pleasd', 'fair', 'thief', 'level', 'ere', 'could', 'sweet', 'see', 'dart', 'death', 'get', 'lightning', 'heart', 'friends', 'motions', 'descried', 'hue', 'lietill', 'passenger', 'heavnly', 'thereby', 'like', 'veils', 'eye', 'guest', 'fly', 'fitter', 'hid', 'thence', 'bloody', 'boy', 'graceand', 'stayd', 'prey', 'bush', 'shot', 'bad', 'wrongful', 'bullet']"
229,"['captivd', 'tries', 'aim', 'climbing', 'golden', 'idle', 'redress', 'others', 'young', 'fruit', 'service', 'whence', 'harder', 'prince', 'neither', 'eyes', 'know', 'rise', 'judges', 'ambitions', 'deem', 'address', 'long', 'pensivenessbewray', 'thoughts', 'pains', 'missing', 'seeing', 'rageiscourge', 'slippry', 'settld', 'brain', 'stellas', 'knowledge', 'melancholy', 'heart', 'hath', 'alas', 'wits', 'guess', 'wise', 'cage', 'fool', 'muse', 'spring', 'placeiholds', 'plies', 'startbut', 'dull', 'think', 'curious', 'errors', 'still', 'stop', 'judge', 'raceof', 'state', 'fumes']"
230,"['strange', 'sprites', 'sisters', 'cry', 'things', 'even', 'beauty', 'flowers', 'sooth', 'copying', 'thus', 'poor', 'may', 'beasts', 'nature', 'herbs', 'know', 'else', 'flaunt', 'thoughts', 'bravely', 'stellas', 'nine', 'face', 'pindars', 'phrases', 'love', 'told', 'line', 'maskd', 'afric', 'wits', 'dainty', 'shine', 'newfound', 'fine', 'glory', 'tropes', 'ennobling', 'problems', 'gold', 'enamling', 'readwhat', 'old', 'muse', 'ind', 'one', 'statelier', 'reach', 'deedbut', 'cost', 'grow', 'dear', 'apes', 'fancies', 'enrich', 'similes', 'hold', 'let', 'writes', 'pied']"
231,"['tries', 'case', 'lovd', 'thy', 'tell', 'doth', 'even', 'scorn', 'feel', 'may', 'sad', 'climbst', 'skies', 'wan', 'acquainted', 'wit', 'ungratefulness', 'long', 'silently', 'want', 'yetthose', 'read', 'graceto', 'face', 'busy', 'moon', 'archer', 'fellowship', 'love', 'beauties', 'looks', 'heavnly', 'proud', 'possess', 'like', 'arrows', 'sure', 'lovers', 'evn', 'call', 'thou', 'state', 'placethat', 'judge', 'descries', 'languishd', 'feelst', 'sharp', 'constant', 'deemd', 'virtue', 'eyescan', 'steps']"
232,"['made', 'unhappy', 'fortune', 'thy', 'wrapt', 'wretch', 'give', 'blow', 'rising', 'must', 'eyes', 'fraud', 'near', 'lovely', 'fair', 'wit', 'till', 'helen', 'rend', 'bliss', 'punishd', 'could', 'thee', 'night', 'see', 'methat', 'show', 'foreseehow', 'morn', 'heart', 'delight', 'would', 'wise', 'day', 'force', 'author', 'might', 'heavnly', 'thyself', 'respects', 'paris', 'much', 'forsooth', 'infernal', 'robbd', 'troubled', 'wordo', 'find', 'yet', 'thou', 'miss', 'right', 'dost', 'foolish', 'sakes']"
233,"['pay', 'take', 'woe', 'grace', 'thy', 'peace', 'doth', 'chamber', 'noise', 'sweetest', 'good', 'throw', 'smooth', 'bed', 'heavy', 'image', 'poor', 'knot', 'tribute', 'place', 'light', 'shield', 'prisoners', 'fierce', 'head', 'wit', 'th', 'shalt', 'pillows', 'darts', 'stellas', 'see', 'sleep', 'wealth', 'thine', 'indifferent', 'livelier', 'blind', 'weary', 'things', 'low', 'despair', 'wars', 'certain', 'deaf', 'move', 'release', 'high', 'garland', 'mans', 'thou', 'rosy', 'come', 'cease', 'elsewhere', 'civil', 'right', 'baiting', 'balm', 'proof', 'judge', 'preaseof', 'make']"
234,"['sent', 'excel', 'stella', 'made', 'race', 'praise', 'use', 'others', 'doth', 'arms', 'sides', 'good', 'forth', 'horse', 'chance', 'english', 'man', 'town', 'nature', 'impute', 'rise', 'lanceguided', 'facesent', 'beams', 'fair', 'true', 'lucky', 'sleight', 'sweet', 'awry', 'far', 'horsemanship', 'blood', 'hand', 'daintier', 'advance', 'wits', 'applieshis', 'lookd', 'day', 'heavnly', 'prize', 'enemy', 'skill', 'strength', 'france', 'horsemen', 'think', 'takemy', 'judge', 'cause', 'eyesand', 'folks', 'obtaind', 'shot', 'judgment', 'well', 'make']"
235,"['disgrace', 'case', 'fortune', 'race', 'thy', 'give', 'cry', 'lay', 'mine', 'scorn', 'course', 'win', 'counsels', 'oerchargd', 'care', 'may', 'trace', 'frame', 'fame', 'wit', 'folk', 'bleeding', 'art', 'try', 'brain', 'another', 'face', 'sit', 'aristotles', 'love', 'oh', 'clouds', 'earth', 'lost', 'cruel', 'heart', 'aspire', 'break', 'bedim', 'hope', 'though', 'eye', 'caesars', 'leave', 'wish', 'fly', 'thou', 'recount', 'aught', 'passions', 'dear', 'run', 'worst', 'let', 'labour', 'envy', 'virtue', 'steps']"
236,"['lustre', 'made', 'best', 'deaths', 'wrapt', 'mourning', 'doth', 'even', 'painter', 'sober', 'black', 'eyes', 'nature', 'light', 'frame', 'beamy', 'seems', 'chief', 'beams', 'bleed', 'else', 'beplacd', 'honour', 'show', 'stellas', 'contrary', 'beauties', 'colour', 'love', 'gave', 'sight', 'miraculous', 'beautys', 'delight', 'make', 'thus', 'veil', 'would', 'wise', 'shades', 'hue', 'lest', 'mixd', 'like', 'dazzle', 'ever', 'brave', 'work', 'knit', 'daintiest', 'power', 'strength', 'weedto', 'disguise', 'bright', 'flow', 'sunlike', 'minding', 'devise', 'object', 'gleams', 'whereas']"
237,"['lodgd', 'best', 'stella', 'bends', 'cries', 'learn', 'goodness', 'thy', 'perfections', 'heirthyself', 'give', 'sweetest', 'beauty', 'fairest', 'good', 'birds', 'may', 'eyes', 'nature', 'light', 'fair', 'shineth', 'true', 'strive', 'minds', 'thee', 'show', 'night', 'read', 'inward', 'sun', 'fast', 'thine', 'content', 'ah', 'love', 'mark', 'overthrow', 'heart', 'sovereigntyof', 'knowhow', 'force', 'lines', 'way', 'move', 'book', 'draws', 'rude', 'find', 'reason', 'fly', 'desire', 'food', 'whose', 'dost', 'still', 'let', 'shall', 'virtue', 'vices']"
238,"['highway', 'feet', 'wrongd', 'chamber', 'greetwith', 'trampling', 'blessed', 'envy', 'thanks', 'kiss', 'may', 'must', 'wishing', 'duty', 'know', 'encroachment', 'fair', 'chief', 'parnassus', 'safe', 'public', 'years', 'bliss', 'words', 'stellas', 'forgot', 'highest', 'since', 'time', 'lotof', 'heart', 'blood', 'onward', 'tempers', 'meet', 'left', 'sinful', 'muse', 'heed', 'much', 'blamd', 'wish', 'deed', 'ihundreds', 'melody', 'oft', 'honourd', 'wishes', 'feetmore', 'still', 'bear', 'horses', 'meto', 'shall', 'ears', 'unsweet', 'shamd', 'thankfully']"
239,"['say', 'waited', 'made', 'deignd', 'phoenix', 'indian', 'clothd', 'name', 'tender', 'late', 'beguiled', 'good', 'care', 'allow', 'whether', 'poor', 'times', 'walk', 'know', 'spartans', 'smild', 'questions', 'whereof', 'journey', 'imitate', 'words', 'stellas', 'sir', 'small', 'sit', 'sighd', 'talk', 'mean', 'total', 'sweeten', 'would', 'demand', 'rate', 'spare', 'left', 'forsooth', 'cutted', 'ware', 'often', 'lips', 'think', 'said', 'still', 'pastime', 'ears', 'well', 'satisfies', 'state', 'god']"
240,"['brought', 'wearied', 'extremity', 'mine', 'hardiness', 'fruit', 'straight', 'thought', 'thoughtwith', 'sore', 'avising', 'bitter', 'fair', 'beams', 'worldly', 'perceivethwhereby', 'sweet', 'plaineththat', 'wealth', 'frozen', 'fire', 'love', 'paradiseand', 'ice', 'webs', 'heart', 'hath', 'repentance', 'thus', 'misery', 'spurreth', 'glad', 'cometh', 'rest', 'guise', 'root', 'fruitless', 'find', 'twixt', 'eyeswhere', 'oft', 'flame', 'departethfor', 'mind', 'earnest', 'bright', 'washeth', 'many', 'game', 'diverse', 'standeth', 'well', 'bridleth', 'wrought', 'moisteth']"
241,"['hooks', 'sands', 'golden', 'begging', 'freeze', 'bewitch', 'stay', 'catch', 'thee', 'pleasures', 'shells', 'see', 'sun', 'windowy', 'hands', 'thine', 'far', 'runwarmd', 'thereby', 'thou', 'wilt', 'curious', 'treacherously', 'seen', 'enamourd', 'silk', 'bedded', 'eyes', 'snare', 'brooks', 'river', 'wrest', 'thyself', 'traitors', 'amorously', 'deceit', 'come', 'darknest', 'let', 'best', 'wiser', 'thy', 'every', 'sleeve', 'catchd', 'light', 'swim', 'slimy', 'art', 'moon', 'betray', 'strangling', 'reeds', 'hath', 'crystal', 'needst', 'bath', 'need', 'lines', 'leave', 'fishes', 'bait', 'net', 'whispering', 'live', 'nestthe', 'others', 'gladder', 'coarse', 'wandring', 'poor', 'may', 'weeds', 'new', 'legs', 'beset', 'love', 'alas', 'angling', 'bold', 'cut', 'silver', 'loth', 'channel', 'banks', 'proveof', 'silken', 'flies', 'fish']"
242,"['two', 'pretty', 'peace', 'die', 'veins', 'place', 'heats', 'prove', 'rise', 'legend', 'drowned', 'ashes', 'gods', 'tombs', 'face', 'plaguy', 'thing', 'build', 'thus', 'anothers', 'approve', 'reverend', 'though', 'mirrors', 'filladd', 'flout', 'hearseour', 'worlds', 'droveinto', 'one', 'hymns', 'soldiers', 'ground', 'cost', 'still', 'overflowed', 'wrought', 'bill', 'made', 'chronicle', 'urn', 'witby', 'spies', 'ships', 'verse', 'contemplate', 'merchants', 'eyes', 'soul', 'forward', 'rage', 'whole', 'stamped', 'rooms', 'men', 'acre', 'palsy', 'arts', 'ruined', 'move', 'injured', 'spring', 'find', 'epitomize', 'fly', 'unfit', 'canonized', 'let', 'shall', 'real', 'state', 'hairs', 'fortune', 'take', 'invoke', 'becomesthe', 'countries', 'pattern', 'phnix', 'riddle', 'us', 'says', 'sake', 'another', 'greatest', 'quarrels', 'gray', 'hath', 'beg', 'litigious', 'honor', 'wars', 'mysterious', 'call', 'tears', 'courts', 'tapers', 'colds', 'improve', 'eagle', 'tongue', 'neutral', 'live', 'hermitage', 'chide', 'sonnets', 'grace', 'fit', 'course', 'five', 'dove', 'gout', 'wealth', 'get', 'love', 'half', 'remove', 'alas', 'sexes', 'glasses', 'observe', 'piece', 'towns', 'sighs', 'contract', 'lawyers', 'mind', 'hold', 'kings', 'whos', 'well']"
243,"['less', 'sorrythat', 'lovd', 'divine', 'fortune', 'fashion', 'knew', 'keep', 'grace', 'wonder', 'whyall', 'die', 'sung', 'truth', 'young', 'decay', 'beauty', 'gives', 'man', 'always', 'prepare', 'stay', 'may', 'write', 'know', 'nothing', 'youth', 'till', 'soon', 'years', 'clothes', 'men', 'sheof', 'read', 'face', 'love', 'peers', 'age', 'middle', 'poets', 'noweither', 'glad', 'world', 'never', 'move', 'first', 'though', 'old', 'lover', 'weight', 'high', 'reason', 'language', 'ardour', 'whose', 'laughter', 'story', 'let', 'fifty', 'shall', 'feature', 'passion', 'make']"
244,"['soil', 'dutyunto', 'beaver', 'chariot', 'nard', 'swans', 'compriseth', 'rideth', 'tasted', 'lifeall', 'words', 'see', 'hands', 'wherein', 'sight', 'elements', 'ever', 'strife', 'swan', 'snowbefore', 'smootherthan', 'hearts', 'still', 'seen', 'star', 'enamourd', 'enjoy', 'eyes', 'whither', 'side', 'hair', 'sweet', 'oh', 'hand', 'rude', 'wish', 'lily', 'foreheads', 'run', 'alone', 'briar', 'seas', 'lady', 'brightas', 'triumphs', 'good', 'brows', 'riseth', 'ride', 'arched', 'look', 'hath', 'would', 'world', 'gain', 'draws', 'mightbut', 'gracesheds', 'swords', 'smutchd', 'fall', 'grow', 'bright', 'guideth', 'ha', 'loves', 'beauty', 'faceas', 'bud', 'markd', 'dove', 'goes', 'fire', 'love', 'mark', 'bag', 'soft', 'bee', 'wool', 'touchd', 'smelt', 'white', 'soothe', 'felt', 'lightall', 'car', 'well']"
245,"['loves', 'sensual', 'doth', 'beof', 'empery', 'complete', 'cupids', 'muses', 'subject', 'eyes', 'firesat', 'riches', 'enraged', 'prefer', 'darkness', 'dwell', 'painted', 'ye', 'love', 'living', 'bonfires', 'abjure', 'blind', 'kindling', 'figures', 'wealthy', 'cabinetbefore', 'honours', 'never', 'desires', 'lovers', 'eye', 'memory', 'breath', 'blown', 'jewels', 'substance', 'burning', 'yet', 'joys', 'vain', 'god', 'set', 'dying', 'seethe', 'abhor', 'stain', 'honourd', 'mind', 'sing', 'history', 'empty', 'let', 'majesty', 'store', 'glory']"
246,"['continuedst', 'noise', 'beprofane', 'die', 'angels', 'rising', 'wake', 'true', 'honour', 'thee', 'knewst', 'since', 'thine', 'sight', 'thing', 'goest', 'nowthou', 'weak', 'thou', 'dreamt', 'broke', 'less', 'makes', 'iwill', 'arms', 'truth', 'doubt', 'fear', 'saw', 'thought', 'eyes', 'truths', 'thoughtst', 'men', 'mixture', 'lightning', 'wisely', 'heart', 'brokst', 'ready', 'hope', 'themefor', 'fables', 'beyond', 'whenexcess', 'camst', 'dealst', 'histories', 'come', 'strong', 'dreams', 'lets', 'yetmy', 'fears', 'best', 'tis', 'enter', 'wakdst', 'joy', 'thy', 'lovest', 'light', 'nothing', 'art', 'angel', 'sufficeto', 'coming', 'would', 'first', 'choose', 'much', 'brave', 'wakd', 'confess', 'tapers', 'fantasy', 'happy', 'dear', 'think', 'perchance', 'must', 'dream', 'else', 'thoughts', 'could', 'therefore', 'love', 'torches', 'theewould', 'spirit', 'put', 'rest', 'yet', 'reason', 'kindle', 'shame', 'showd', 'sawest', 'act', 'pure', 'staying', 'make']"
247,"['two', 'means', 'unperplex', 'single', 'lay', 'change', 'bed', 'works', 'interinanimates', 'th', 'long', 'fast', 'see', 'hands', 'prison', 'meant', 'far', 'sex', 'negotiate', 'thus', 'things', 'advance', 'anothers', 'mixd', 'spake', 'sat', 'though', 'weak', 'eye', 'reveald', 'statues', 'ecstasy', 'armies', 'one', 'strength', 'invade', 'thence', 'body', 'toour', 'said', 'heavens', 'flow', 'still', 'gone', 'dross', 'concoction', 'bank', 'makes', 'made', 'double', 'hung', 'tell', 'doth', 'imprints', 'controls', 'convenient', 'saw', 'prince', 'eyes', 'whilst', 'soul', 'fate', 'beams', 'string', 'within', 'transplant', 'yielded', 'souls', 'redoubles', 'great', 'dialogue', 'men', 'mixture', 'affections', 'convey', 'subtle', 'scant', 'oh', 'pictures', 'postures', 'uncertain', 'victory', 'make', 'blood', 'came', 'move', 'lover', 'lovers', 'spring', 'reach', 'fingers', 'language', 'tointergraft', 'beget', 'restthe', 'let', 'shall', 'state', 'best', 'grown', 'knew', 'take', 'sepulchral', 'good', 'violet', 'thanks', 'upon', 'man', 'loneliness', 'us', 'forbear', 'nothing', 'reclining', 'another', 'multiplies', 'purer', 'look', 'small', 'colour', 'spirits', 'faculties', 'composd', 'defects', 'repair', 'need', 'sense', 'suspends', 'firmly', 'might', 'like', 'first', 'labors', 'bodies', 'air', 'distance', 'knit', 'senses', 'twisted', 'understood', 'mix', 'allay', 'grow', 'balm', 'abler', 'refind', 'swelld', 'cemented', 'lies', 'loves', 'weare', 'apprehend', 'spheres', 'poor', 'may', 'size', 'knot', 'must', 'heard', 'know', 'head', 'pillow', 'part', 'else', 'descend', 'new', 'get', 'love', 'equal', 'mark', 'atomies', 'alas', 'pregnant', 'several', 'day', 'violets', 'force', 'mysteries', 'book', 'influence', 'yet', 'intelligences', 'twixt', 'turn', 'stood', 'mind', 'owe', 'theyare', 'thread', 'contain', 'pure', 'propagation']"
