author,content,poem name,age,type
sir thomas wyatt,heart service profferdwith right good full honestly refuse since offerd take gentlely though small present yet good consider graciouslythe thought mind intentof loves faithfully thing small effectto work woe thus cruelly good abject therefore accept lovingly pain travel run ride undertake pleasantly bid ye go straight glideat commandement humbly pain pleasure may planteven please steadfastly list shall wantto servant secretly since much desireto assuredly service hirereward servant liberally,The Heart and Service,Renaissance,Love
john donne,show dear christ thy spouse bright clear shoregoes richly painted robbd tore laments mourns germany sleeps thousand peeps one year self truth errs new outwore doth shall evermoreon one seven hill appear dwells us like adventuring knightsfirst travel seek make love betray kind husband thy spouse sights let mine amorous soul court thy mild dove true pleasing thee thenwhen sheis embracd open men,"Holy Sonnets: Show me dear Christ, thy spouse so bright and clear",Renaissance,Love
john donne,since lovd hath paid last debtto nature good dead soul early heaven ravished wholly heavenly things mind set admiring mind whetto seek thee god streams show head though found thee thou thirst hast fed holy thirsty dropsy melts yet beg love whenas thoudost woo soul offring thine dost fear lest allowmy love saints angels things divine thy tender jealousy dost doubtlest world flesh yea devil put thee,Holy Sonnets: Since she whom I lov'd hath paid her last debt,Renaissance,Love
sir thomas wyatt,find peace war done fear hope burn freeze like ice fly wind yet arise nought world season loseth locketh holdeth prisonand holdeth notyet scape wisenor letteth live die device yet death giveth occasion without eyen see without tongue plain desire perish yet ask health love another thus hate feed sorrow laugh pain likewise displeaseth life death delight causer strife,I Find no Peace,Renaissance,Love
edmund spenser,unhappy verse witness unhappy state make thy self fluttring wings thy fast flyingthought fly forth unto love wheresoever whether lying restless heavy bed elsesitting cheerless cheerful board elseplaying alone careless heavenly virginals bed tell eyes take rest board tell mouth eat meat virginals tell hear mirth asked say waking love suffereth sleep say raging love doth appal weak stomach say lamenting love marreth musical tell pleasures wont lull asleep tell beauty wont feed mine eyes tell sweet tongue wont make mirth nightly waste wanting kindly rest daily starve wanting lively food always die wanting thy timely mirth waste bewail heavy chance starve record cursed end die say immerito,Iambicum Trimetrum,Renaissance,Love
john donne,love fair brown abundance melts want betrays loves loneness best masks plays country formed town believes tries still weeps spongy eyes dry cork never cries love love true vice content serve turn mothers old vices spent would find others doth fear men true torment let twenty know rob bind let go must came travail thorough grow fixed subject true venus heard sigh song loves sweetest part variety swore heard till went examined returned ere long said alas two threepoor heretics love think stablish dangerous constancy told since true shall true false,The Indifferent,Renaissance,Love
sir philip sidney,leave love reachest dust thou mind aspire higher things grow rich never taketh rust whatever fades fading pleasure brings draw thy beams humble thy mightto sweet yoke lasting freedoms breaks clouds opens forth light doth shine give us sight see take fast hold let light thy guidein small course birth draws death think evil becometh slide seeketh heavn comes heavnly breath farewell world thy uttermost see eternal love maintain thy life,"""Leave me, O Love, which reachest but to dust""",Renaissance,Love
john donne,stand still read theea lecture love loves philosophy three hours spent walking two shadows wentalong us producd sun head shadows tread brave clearness things reducd whilst infant loves grow disguises shadows flowfrom us cares tis love attaind highst degree still diligent lest others see except loves noon stay shall new shadows make way first made blind others come behindwill work upon blind eyes loves faint westwardly decline thou falsely thine thee mine actions shall disguise morning shadows wear away grow longer day oh loves day short love decay love growing full constant light first minute noon night,A Lecture upon the Shadow,Renaissance,Love
sir thomas wyatt,longe love thought doth harbourand mine hert doth keep residence face presseth bold pretenceand therein campeth spreading banner learneth love sufferand trust lustes negligencebe rayned reason shame reverence hardiness taketh displeasure wherewithall unto herts forest fleeth leaving enterprise pain cry hideth appeareth may master fearethbut field live die good life ending faithfully,The Long Love that in my Thought doth Harbour,Renaissance,Love
john donne,deeper diggd loves mine say centric happiness doth lie lovd got told love get tell till old find hidden mystery oh tis imposture chemic yet thelixir got glorifies pregnant pot way befallsome odoriferous thing medicinal lovers dream rich long delight get winter seeming summers night ease thrift honour day shall vain bubbles shadow pay ends love mancan happyas canendure short scorn bridegrooms play loving wretch swearstis bodies marry minds angelic finds would swear justly hears days rude hoarse minstrelsy spheres hope mind women best sweetness wit theyare mummy possessd,Love's Alchemy,Renaissance,Love
john donne,long talk old lovers ghost died god love born cannot think lovd sunk low love one scorn since god producd destiny vice nature custom lets must love loves sure made god meant much young godhead practisd even flame two hearts touch office indulgently fitactives passives correspondencyonly subject cannot belove till love loves every modern god extendhis vast prerogative far jove rage lust write commend purlieu god love wakend tyrannyto ungod child could bei love loves rebel atheist murmur though felt worst love could love might make leave loving might trya deeper plague make love since loves iam loth see falsehood worse hate must love love,Love's Deity,Renaissance,Love
john donne,yet thy love dear shall never cannot breathe one sigh move intreat one tear fall treasure purchase theesighs tears oaths lettersi spent yet due bargain made meant thy gift love partial others fall dear shall never thee thou gavest thou hadst thy heart since shallnew love created men stocks entire tears sighs oaths letters outbid new love may beget new fears love vowd thee yet thy gift general ground thy heart mine whatever shall grow dear yet would yet hath since love doth every day admitnew growth thou shouldst new rewards store thou canst every day give thy heart thou canst give thou never gavest loves riddles though thy heart depart stays home thou losing savest way liberal changing hearts join shall one one anothers,Lovers' Infiniteness,Renaissance,Love
sir thomas wyatt,madam withouten many wordsonce sure ye ye leave bourdsand use wit show beck ye shall call one burneth alwayye pity answer fair nay shall fain nay friends ye shall another man obtain mine,"Madam, withouten many Words",Renaissance,Love
sir thomas wyatt,lute awake perform lastlabour thou shall waste end begun song sung past lute still done heard ear none lead grave marble stone song may pierce heart soon sigh sing moan lute done rocks cruellyrepulse waves continually suit affection past remedy whereby lute done proud spoil thou hast gotof simple hearts thorough loves shot unkind thou hast think hath bow forgot although lute done vengeance shall fall thy disdainthat makest game earnest pain think alone sununquit cause thy lovers plain although lute done perchance thee lie wethered oldthe winter nights cold plaining vain unto moon thy wishes dare told care list done may chance thee repentthe time thou hast lost spentto cause thy lovers sigh swoon shalt thou know beauty lent wish want done cease lute lastlabour thou shall waste ended begun song sung past lute still done,My Lute Awake,Renaissance,Love
en jonson,think love rather deaf blind else could bethat adore much slight meand cast love behind im sure language sweet every close meetin sentence subtle feet hath youngest hethat sits shadow apollos tree conscious fears fly thoughts tell hath seenmy hundred gray hairs told seven forty yearsread much waste cannot embracemy mountain belly rocky face eyes stoppd ears,My Picture Left in Scotland,Renaissance,Love
john donne,grave broke second guest entertain graves learnd woman head one bed digs spiesa bracelet bright hair bone letus alone think loving couple lies thought device might wayto make souls last busy day meet grave make little stay fall time land mis devotion doth command digs us bring us bishop king make us relics thenthou shalt mary magdalen ia something else thereby women shall adore us men since time miracles sought would age paper taughtwhat miracles harmless lovers wrought first lovd well faithfully yet knew lovd difference sex knew guardian angels coming going weperchance might kiss meals hands neer touchd sealswhich nature injurd late law sets free miracles alas measure language pass tell miracle,The Relic,Renaissance,Love
sir philip sidney,ring bells let mourning shows spread love deadall love dead infectedwith plague deep disdain worth nought worth rejected faith fair scorn doth gain ungrateful fancy female franzy use men thus good lord deliver us weep neighbours weep hear saidthat love dead death bed peacocks folly winding sheet shame false seeming holy sole exector blame ungrateful fancy female franzy use men thus good lord deliver us let dirge sung trentals rightly read love dead sir wrong tomb ordainethmy mistress marble heart epitaph containeth eyes dart ungrateful fancy female franzy use men thus good lord deliver us alas lie rage hath error bred love dead love dead sleepethin unmatched mind counsel keepeth till due desert find therefore vile fancy call wit franzy love temper thus good lord deliver us,Ring Out Your Bells,Renaissance,Love
thomas campion,rose cheekd laura come sing thou smoothly thy beautyssilent music either othersweetly gracing lovely forms flowfrom concent divinely framed heavn music thy beautysbirth heavenly dull notes singdiscords need helps grace beauty purely lovingknows discord still moves delight like clear springs renewd flowing ever perfect ever selves eternal,Rose-Cheeked Laura,Renaissance,Love
sir thomas wyatt,since ye please hear plain ye rejoice smart list lenger remainto overthwart cursed cruel heartwhich hath procurd careless mindfor mine unfeigned smart forceth faults find much assuredof thine intent whereto trust speedless proof endured leave lust,Since ye so Please,Renaissance,Love
sir philip sidney,true love hath heart exchange one given hold dear mine cannot miss never bargain better driven heart keeps one heart thoughts senses guides loves heart cherish bides heart wound received sight heart wounded wounded heart hurt light still methought hurt smart equal hurt change sought bliss true love hath heart,Song from Arcadia: My True Love Hath My Heart,Renaissance,Love
william shakespeare,mistress mine roaming stay hear true loves coming sing high low trip pretty sweeting journeys end lovers meeting every wise mans son doth know love tis hereafter present mirth hath present laughter whats come still unsure delay lies plenty come kiss sweet twenty youths stuff endure,Song: O Mistress mine where are you roaming?,Renaissance,Love
john donne,sweetest love go weariness thee hope world show fitter love since imust die last tis bestto use jest thus feignd deaths die yesternight sun went hence yet today hath desire sense half short way fear believe shall makespeedier journeys since take wings spurs feeble mans power good fortune fall cannot add another hour lost hour recall come bad chance join toit strength teach art length oer us toadvance thou sighst thou sighst wind sighst soul away thou weepst unkindly kind lifes blood doth decay cannot bethat thou lovst thou sayst thine life thou waste art best let thy divining heart forethink ill destiny may take thy part may thy fears fulfil think weare turnd aside sleep one another keep alive neer parted,"Song: Sweetest love, I do not go",Renaissance,Love
william shakespeare,take oh take lips away sweetly forsworn eyes breake day lights mislead morn kisses bring bring seals love sealed vain sealed vain,"Song: Take, oh take those lips away",Renaissance,Love
en jonson,drink thine eyes pledge mine leave kiss cup ill look wine thirst soul doth rise doth ask drink divine might joves nectar sup would change thine sent thee late rosy wreath much honouring theeas giving hope could withered thou thereon didst breathe sentst back since grows smells swear thee,Song: to Celia [Drink to me only with thine eyes],Renaissance,Love
william shakespeare,consider everything growsholds perfection little moment huge stage presenteth nought showswhereon stars secret influence comment perceive men plants increase cheered checkd even selfsame sky vaunt youthful sap height decrease wear brave state memory conceit inconstant staysets rich youth sight wasteful time debateth decayto change day youth sullied night war time love takes engraft new,Sonnet 15: When I consider everything that grows,Renaissance,Love
william shakespeare,devouring time blunt thou lions paws make earth devour sweet brood pluck keen teeth fierce tigers jaws burn long livd phoenix blood make glad sorry seasons thou fleets whateer thou wilt swift footed time wide world fading sweets forbid thee one heinous crime carve hours loves fair brow draw lines thine antique pen thy course untainted allowfor beautys pattern succeeding men yet thy worst old time despite thy wrongmy love shall verse ever live young,"Sonnet 19: Devouring Time, blunt thou the lion's paws",Renaissance,Love
william shakespeare,let favour starsof public honour proud titles boast whilst fortune triumph bars unlookd joy honour great princes favourites fair leaves spreadbut marigold suns eye pride lies buried frown glory die painful warrior famoused fight thousand victories foild book honour razed quite rest forgot toild happy love belovedwhere may remove removed,Sonnet 25: Let those who are in favour with their stars,Renaissance,Love
william shakespeare,disgrace fortune mens eyes alone beweep outcast state trouble deaf heaven bootless cries look upon curse fate wishing like one rich hope featured like like friends possessed desiring mans art mans scope enjoy contented least yet thoughts almost despising haply think thee state like lark break day arisingfrom sullen earth sings hymns heavens gate thy sweet love remembered wealth brings scorn change state kings,"Sonnet 29: When, in disgrace with fortune and mens eyes",Renaissance,Love
william shakespeare,sessions sweet silent thoughti summon remembrance things past sigh lack many thing sought old woes new wail dear times waste drown eye unusd flow precious friends hid deaths dateless night weep afresh loves long since cancelld woe moan th expense many vanishd sight grieve grievances foregone heavily woe woe tell oerthe sad account fore bemoaned moan new pay paid think thee dear friend losses restord sorrows end,Sonnet 30: When to the sessions of sweet silent thought,Renaissance,Love
william shakespeare,thou survive well contented day churl death bones dust shall cover shalt fortune surveythese poor rude lines thy deceased lover compare bettering time though outstrippd every pen reserve love rhyme exceeded height happier men vouchsafe loving thought friends muse grown growing agea dearer birth love brought march ranks better equipage since died poets better prove style ill read love,Sonnet 32: If thou survive my well-contented day,Renaissance,Love
william shakespeare,seen times fell hand defacdthe rich proud cost outworn buried age sometime lofty towers see rasdand brass eternal slave mortal rage seen hungry ocean gainadvantage kingdom shore firm soil win watry main increasing store loss loss store seen interchange state state confounded decay ruin hath taught thus ruminate time come take love away thought death cannot choosebut weep fears lose,Sonnet 64: When I have seen by Time's fell hand defac'd,Renaissance,Love
william shakespeare,tird restful death cry behold desert beggar born needy nothing trimmd jollity purest faith unhappily forsworn gilded honour shamefully misplacd maiden virtue rudely strumpeted right perfection wrongfully disgracd strength limping sway disabled art made tongue tied authority folly doctor like controlling skill simple truth miscalld simplicity captive good attending captain ill tird would gone save die leave love alone,"Sonnet 66: Tir'd with all these, for restful death I cry",Renaissance,Love
william shakespeare,longer mourn deadthan shall hear surly sullen bellgive warning world fledfrom vile world vilest worms dwell nay read line remember notthe hand writ love sweet thoughts would forgot thinking make woe say look upon verse perhaps compounded clay much poor name rehearse let love even life decay lest wise world look moan mock gone,Sonnet 71: No longer mourn for me when I am dead,Renaissance,Love
william shakespeare,mine fears prophetic soulof wide world dreaming things come yet lease true love control supposd forfeit confind doom mortal moon hath eclipse endurdand sad augurs mock presage incertainties crown assurdand peace proclaims olives endless age drops balmy timemy love looks fresh death subscribes since spite ill live poor rhyme insults oer dull speechless tribes thou shalt find thy monument tyrants crests tombs brass spent,"Sonnet 107: Not mine own fears, nor the prophetic soul",Renaissance,Love
william shakespeare,alas tis true gone thereand made motley view gord mine thoughts sold cheap dear made old offences affections new true lookd truthaskance strangely blenches gave heart another youth worse essays provd thee best love done shall end mine appetite never grindon newer proof try older friend god love confind give welcome next heaven best even thy pure loving breast,"Sonnet 110: Alas, 'tis true I have gone here and there",Renaissance,Love
william shakespeare,let marriage true mindsadmit impediments love lovewhich alters alteration finds bends remover remove ever fixed markthat looks tempests never shaken star every wandring bark whose worths unknown although height taken loves times fool though rosy lips cheekswithin bending sickles compass come love alters brief hours weeks bears even edge doom error upon provd never writ man ever lovd,Sonnet 116: Let me not to the marriage of true minds,Renaissance,Love
william shakespeare,th expense spirit waste shameis lust action till action lustis perjured murdrous bloody full blame savage extreme rude cruel trust enjoyed sooner despised straight past reason hunted sooner hadpast reason hated swallowed baiton purpose laid make taker mad mad pursuit possession quest extreme bliss proof proved woe joy proposed behind dream world well knows yet none knows wellto shun heaven leads men hell,Sonnet 129: Th'expense of spirit in a waste of shame,Renaissance,Love
william shakespeare,mistress eyes nothing like sun coral far red lips red snow white breasts dun hairs wires black wires grow head seen roses damasked red white roses see cheeks perfumes delightthan breath mistress reeks love hear speak yet well knowthat music hath far pleasing sound grant never saw goddess go mistress walks treads ground yet heaven think love rare belied false compare,Sonnet 130: My mistress' eyes are nothing like the sun,Renaissance,Love
en jonson,still neat still dressed going feast still powdered still perfumed lady presumed though arts hid causes found sweet sound give look give face makes simplicity grace robes loosely flowing hair free sweet neglect taketh thadulteries art strike mine eyes heart,"Still to be neat, still to be dressed",Renaissance,Love
john donne,busy old fool unruly sun dost thou thus windows curtains call us must thy motions lovers seasons run saucy pedantic wretch go chide late school boys sour prentices go tell court huntsmen king ride call country ants harvest offices love alike season knows clime hours days months rags time thy beams reverend strong shouldst thou think could eclipse cloud wink would lose sight long eyes blinded thine look tomorrow late tell whether th indias spice mine thou leftst lie ask kings thou sawst yesterday thou shalt hear one bed lay shes states princes nothing else princes play us compared honors mimic wealth alchemy thou sun art half happy worlds contracted thus thine age asks ease since thy duties warm world thats done warming us shine us thou art everywhere bed thy center walls thy sphere,The Sun Rising,Renaissance,Love
thomas campion,garden facewhere roses white lilies grow heavnly paradise placewherein pleasant fruits flow cherries grow none may buy till cherry ripe cry cherries fairly encloseof orient pearl double row lovely laughter shows look like rose buds filld snow yet peer prince buy till cherry ripe cry eyes like angels watch still brows like bended bows stand threatning piercing frowns killall attempt eye handthose sacred cherries come nigh till cherry ripe cry,There Is A Garden In Her Face,Renaissance,Love
sir thomas wyatt,flee sometime seekwith naked foot stalking chamber seen gentle tame meek wild rememberthat sometime put themself dangerto take bread hand range busily seeking continual change thanked fortune hath otherwisetwenty times better special thin array pleasant guise loose gown shoulders fall caught arms long small therewithall sweetly kissand softly said dear heart like dream lay broad waking turned thorough gentlenessinto strange fashion forsaking leave go goodness also use newfangleness since kindly servedi would fain know hath deserved,They Flee From Me,Renaissance,Love
thomas campion,thrice toss oaken ashes air thrice sit thou mute enchanted chair thrice three times tie true loves knot murmur soft go burn poisnous weeds yon blue fire screech owls feathers prickling briar cypress gathered dead mans grave fears cares end may come fairies dance round melt hard heart melodious sound vain charms devise hath art break eyes,Thrice Toss These Oaken Ashes,Renaissance,Love
sir thomas wyatt,unstable dream according place steadfast else least true tasted sweetness make ruethe sudden loss thy false feigned grace good respect dangerous casethou broughtest tossing mewbut madest sprite live care renew body tempest succour embrace body dead sprite desire painless thone thother delight alas keep right returning leap fire wish could remain mocks dreams turn deadly pain,Unstable Dream,Renaissance,Love
john donne,virtuous men pass mildly away whisper souls go whilst sad friends say breath goes say let us melt make noise tear floods sigh tempests move twere profanation joys tell laity love moving th earth brings harms fears men reckon meant trepidation spheres though greater far innocent dull sublunary lovers love whose soul sense cannot admitabsence doth remove things elemented love much refined selves know inter assured mind care less eyes lips hands miss two souls therefore one though must go endure yeta breach expansion like gold airy thinness beat two two stiff twin compasses two thy soul fixed foot makes show move doth though center sit yet far doth roam leans hearkens grows erect comes home wilt thou must like th foot obliquely run thy firmness makes circle makes end begun,A Valediction: Forbidding Mourning,Renaissance,Love
john donne,let pour forthmy tears thy face whilst stay thy face coins thy stamp bear mintage something worth thus pregnant thee fruits much grief emblems tear falls thou falls bore thou nothing diverse shore round balla workman hath copies layan europe afric asia quickly make nothing doth tear thee doth wear globe yea world impression grow till thy tears mixd mine overflowthis world waters sent thee heaven dissolved moon draw seas drown thy sphere weep dead thine arms forbearto teach sea may soon let wind example find harm purposeth since thou sigh one anothers breath whoeer sighs cruellest hastes others death,A Valediction: of Weeping,Renaissance,Love
sir thomas wyatt,needeth threnning words wasted wind cannot make restore prey rob good iwis mind causeless fair hand display let love judge else next meetthat may hear say took heart glove let us see thone worth thother,What Needeth these Threat'ning Words,Renaissance,Love
sir thomas wyatt,say since faith dead truth awayfrom fled ledwith doubleness nay nay mistress promised promised trueas would since seeyour double heart farewell part though takeit mind forsake one unkind find trust farewell unjust ye say nay saidthat alwayshould obeyed thus betrayedor wistefarewell unkissed,What should I Say,Renaissance,Love
thomas campion,thou must home shades underground arrivd new admired guest beauteous spirits engirt thee round white iope blithe helen rest hear stories thy finishd lovefrom smooth tongue whose music hell move wilt thou speak banqueting delights masques revels sweet youth make tourneys great challenges knights triumphs thy beautys sake thou hast told honours done thee tell tell thou didst murder,When Thou Must Home to Shades of Underground,Renaissance,Love
sir thomas wyatt,whoso list hunt know hind helas may vain travail hath wearied sore farthest cometh behind yet may means wearied minddraw deer fleeth aforefainting follow leave therefore sithens net seek hold wind list hunt put doubt well may spend time vain graven diamonds letters plainthere written fair neck round noli tangere caesars wild hold though seem tame,"Whoso List to Hunt, I Know where is an Hind",Renaissance,Love
sir thomas wyatt,ye old mule think fair leave craft beauty repair true without fable man setteth riding saddle much travail train appair ye old mulewith false savour though deceive thair whoso taste shall well perceive lairsavoureth somewhat kappurs stable ye old muleye must serve market fair burden panniers pair since gray hairs powdered sable thing ye seek must enableto purchase payment prayer ye old mule,Ye Old Mule,Renaissance,Love
edgar lee masters,leaned mantel sick sick thinking failure looking abysm weak noon day heat church bell sounded mournfully far away heard cry baby coughing john yarnell bed ridden feverish feverish dying violent voice wife watch potatoes burning smelled irresistible disgust pulled trigger blackness light unspeakable regret fumbling world late thus came lungs breathing one cannot breathe lungs though one must breatheof use rid ones self world soul may ever escape eternal destiny life,Harold Arnett,Modern,Mythology & Folklore
edgar lee masters,first fruits battle missionary ridge felt bullet enter hearti wished staid home gone jailfor stealing hogs curl trenary instead running away joining army rather thousand times county jailthan lie marble figure wings granite pedestal bearing words pro patria mean anyway,Knowlt Hoheimer,Modern,Mythology & Folklore
edgar lee masters,eight years old grew knew meanti words exceptthat frightened told mymother father got pistoland would killed charlie big boy fifteen years old except mother nevertheless story clung man married widower thirty five newcomer never heard ittill two years married considered cheated village agreed really virgin well deserted diedthe following winter,Nellie Clark,Modern,Mythology & Folklore
william butler yeats,w b yeats lapis lazuli poems w b yeats new edition edited richard j finneran copyright macmillan publishing company renewed1961 georgie yeats reprinted permission p watt ltd behalf michael yeats,Lapis Lazuli,Modern,Mythology & Folklore
william butler yeats,blame filled dayswith misery would latehave taught ignorant men violent ways hurled little streets upon great courage equal desire could made peaceful mindthat nobleness made simple fire beauty like tightened bow kindthat natural age like high solitary stern could done another troy burn,No Second Troy,Modern,Mythology & Folklore
ford madox ford,gloom october like november august hundred thousand hours september hundred thousand dragging sunlit days half october like thousand years doom antwerp name god could souls usually dived dirty caverns mines usually hived whitened hovels ragged poplars dragged muddy shovels grassy mud lumbering work greasy sods men appearance clods bravest men usually listless priest god ever shrived us make anthem found words would come wind would fan tune trumpets might blow shrill heaven thats yet allahs wide halls valhallas make anthem inditing sonnets pantoums elegiacs lays name god could ii new thing sun uncomely man smoking gun gloom devil gain digging hole mud standing day rain waiting doom sharp blow swift outpouring blood till trench gray mud turned brown purple drain well scars many wars punic lacedmonian wars napoleon wars faith wars honour love possession belgian man ugly tunic ugly round cap shooting sort obsession overspreading miserable land standing wet gun hand doom finds sudden scrimmage lies unsightly lump sodden grass image shall take long pass iii white limbed heroes hellas ride upon horses forever brains heroes cressy ride upon stallions battalions battalions battalions old guard young guard men minden waterloo pass ever staunch stand ever true small man large paunch gray coat large hat hands behind back watches pass minds ever clutter sodden corses sodden belgian grass strange new beauty iv especial legends marchings triumphs duty assuredly way way beauty highest word find say cannot praise words compounded lyres swords thought gloom rain ugly coated figure standing beside drain shall eat brain say heroes fought like belgians say wrought like belgian fate gloom say bought like belgian doom shall honourable name belgian shall honourable word honourable fame sword honourable mention many chorded lyre old coat shall seem beautiful fabrics woven tyre v world bear dont know world dare perhaps likes understand could well watched hundred legions go fields cities southerly regions could well let legions pass woods kept lives wives children cattle goods dont understand love land oh poor dears man love land give thousand thousand pities rivers rivers tears wash blood cities flanders vi charing cross midnight great crowd light great crowd black hardly whispers aloud surely dead womana dead mother dead face dressed black wanders bookstall back back crowd back back sways wanders charing cross one oclock still great cloud little light immense shafts shadows black crowd hardly whispers aloud another dead mother another another another little children black dead faces waiting waiting places wandering doors waiting room dim gloom women flanders await lost await lost shall never leave dock await lost shall never come train embraces women dead faces await lost lie dead trench barrier foss dark night charing cross past one clock little light much pain lenvoi endured gloom october like november august like hundred thousand hours september hundred thousand dragging sunlit days half october like thousand years oh poor dears,In October 1914 [Antwerp],Modern,Mythology & Folklore
ivor gurney,went ovillers mud water cold knee went three jeering fleering spectres walked abreast talked first said heres right brave soldier walks dark unfearingly soon hell come back fine stretcher laughing nice blighty second read face old comrade kind lucky chance see one day hell freeze mud marrow look last picardie though bitter word first twain curses third spat venomously hell stay untouched till wars last dawning live one hour agony liars first two behold sloping arms onetwothree waiting time shall discover whether third spake verity,Ballad of the Three Spectres,Modern,Mythology & Folklore
ivor gurney,villageof lovely knowledgethe high roads left aside forlorn maid water ran dusk hid climbed four wayed brown gold windows showed last folk yet asleep water ran centre silence deep fathomless deeps pricked sky almost fathomlesshallowed upward gaze pale satin blue happy indeed mind soul body evenhaving got givena sign undoubtful dear england fewdoubt many seen squele knew shriven home twelfth nightedward thomas arras fallen borrow hardy sussex tales roman heights callen madrigals field songs reverent whim till got back dumb,I Saw England  July Night,Modern,Mythology & Folklore
ivor gurney,england would bearthis heavy servitude one moment keep brothel sweep wash floorof filthiest hovels noble comparewith brass cleaning life thereharried foolishness scanned curiously oerby fools made brazen conceit storeof antique witticisms thin bare love comrades sweetens whose laughing spirit outdone night watching men wait sunto hearten wait boysas neither brass hell fire may appal guns sergeant majors bluster noise,Servitude,Modern,Mythology & Folklore
ivor gurney,wanderer knows englands graces anew see clear familiar faces loves joy dwells shadows forget quite severn meadows,Song [Only the wanderer],Modern,Mythology & Folklore
ivor gurney,little dream england bore meunder cotswold hills beside water meadows dreadful service beyond bordersand enfolding seas dreamer ever bound dear service meditating deep thought secret beauty childs face one may see clear spiritmiraculously shining hills hills friends mine kindly tiny knolls orchards hidden beside rivermuddy strongly flowing shy tiny streamletssafe bosom memories skies rushy sky poolsfragile mirrors easily broken moving airs deep heart ever goes daily uses consecrate think mother wrest soul serve youin strange fearful ways beyond encircling waters none know heart tears sacrifice none repay,Strange Service,Modern,Mythology & Folklore
ivor gurney,hes gone plans useless indeed well walk cotswold sheep feed quietly take heed body quick youknew severn river blue driving small boat would know still diednobly cover violets pride purple severn side cover cover soon thick setmasses memoried flowers hide red wet thing must somehow forget,To His Love,Modern,Mythology & Folklore
ivor gurney,youth hour thy dread passion comes thy lovely things must laid away thou others must face riven dayunstirred rattle rolling drums bugles strident cry mere noise numbsthe sense sick soul doth sway remember thy great crafts honour may saynothing shame poets crumbsof praise little versemen joyed takeshall forgotten must know skill words equal mightand strong mettle honoured makethe name poet terrible war like crown honour upon fight,To the Poet Before Battle,Modern,Mythology & Folklore
ivor gurney,remember plain heroic strengthand shining virtue shown ypres pools read blither written knaves foolsin praise english soldiers lying length purely dream england shall madegloriously new free old stainsby us pay price must paid freeze winter ypres plains silly dreams peace put asideand brotherhood man seean armed mistress braggart tide children slaves mastery well word forge knife cut cancer threatens englands life,To the Prussians of England,Modern,Mythology & Folklore
carl sandburg,doors wind song copyright1957 carl sandburg renewed margaret sandburg janet sandburg helga sandburg crile reprinted permission houghton mifflin harcourt publishing company,Doors,Modern,Mythology & Folklore
ezra pound,ezra pound canto cantos ezra pound copyright1993 ezra pound reprinted permission new directions publishing corporation,Canto I,Modern,Mythology & Folklore
ezra pound,ezra pound canto iii cantos ezra pound copyright1993 ezra pound reprinted permission new directions publishing corporation,Canto III,Modern,Mythology & Folklore
ezra pound,ezra pound canto iv cantos ezra pound copyright1993 ezra pound reprinted permission new directions publishing corporation,Canto IV,Modern,Mythology & Folklore
ezra pound,ezra pound canto lxxxi cantos ezra pound copyright1993 ezra pound reprinted permission new directions publishing corporation,Canto LXXXI,Modern,Mythology & Folklore
ezra pound,ezra pound canto xlv cantos ezra pound copyright1993 ezra pound reprinted permission new directions publishing corporation,Canto XLV,Modern,Mythology & Folklore
ezra pound,ezra pound canto xxxvi cantos ezra pound copyright1993 ezra pound reprinted permission new directions publishing corporation,Canto XXXVI,Modern,Mythology & Folklore
edgar lee masters,pieria wedded blissof time memory muses cameto means rich oblivion rest cares thunderertook heaven titans warred himfor pity mankind great law law music bread set atlas pillar manacledhis brother rocks scythia aetna fixed furious typhon thought rule force amphion pursuing justice entered thebes slewhis mothers spouse would make sureand fortify city tookthe lyre hermes gave played watchedthe stones move assemble till wallengirded thebes kept citadelbeyond reach arrows fire power harmony builda city gift magicalas city lifts walls men years come shall feel powerof man moving high ranged thoughtwhich plans beauty builds larger life stones shall rise towers answer,In Memory of Bryan Lathrop,Modern,Mythology & Folklore
elinor wylie,bands silk minivermomently grew heavier black gauze beggarly thin ermine muffled mouth chin could suck moonlight harlequin lozengesof love hate walked thesestriped ragged rigmaroles along pavement footsolestrod warily living coals shouldering thoughts loathed corrupt disguises clothed morality could tearfrom ribs leave bareivory silver air walked raged spiritual savage cagedwithin skeleton raged afreshto feel behind carnal mesh clean bones crying flesh,Full Moon,Modern,Mythology & Folklore
george santayana,ibehoild pelides yellow hair proud child thetis hero loved jove frowning brows wovea crown gold well combed spartan care might seen sullen great fair wrongful world proudly strove high deeds wilder passion shrove mastering love resentment despair knew end phoebus arrow surehe braved fame immortal friend despising life know end know decay shall endureand childrens hearts grief inure whose first bitter battles shall blend iiwho brought thee forth immortal vision whoin phthia tempe brought thee forth sunlight sapful earthwhat god simples thy spirit drew goddess rose green waves threwher arms king give thee birth centaur patron thy boyish mirth meadows thy footsteps flew thessaly forgets thee deepthy keeled bark furrowed answers thy prayer far away new generations keepthy laurels fresh branching isis hemsthe lawns oxford round whereenchanted eton sits pleasant thames iiii gaze thee phidias oldor polyclitus gazed first sawthese hard shining limbs without flaw cast wonder heroic mould unhappy may behold make immutable fix awea fair immortal form worm shall gnaw tempered mind whose faith never told godlike mien lions lock eye well knit sinew utter brave heartbetter many words part partspell strange symbols serene wholein nature lives marble die perfect body soul,Before a Statue of Achilles,Modern,Mythology & Folklore
